score
id ,:name ,:math ,:english ,:science ,:music
3 zUFUO26 43 37 2 90
12 9RhDTH 55 89 57 90
27 J06GbtYz 10 33 22 52
29 bmYTVFCJ 46 68 19 76
33 JuMKEt 13 15 96 75
34 Fy5gDd 29 9 53 1
42 B9VjIHe 79 98 85 92
56 XeE7uE 30 82 42 6
82 dvt3ZOhm 30 29 85 35
89 6Cxb2IT 90 52 80 52
113 m5SlaV1M 32 83 46 93
128 kMMGMJI1 24 67 51 46
136 0Q0ZxY 42 83 54 45
144 r5IsRew 85 96 10 20
148 5E0G7Juj 87 4 12 66
149 kPbTHt 3 9 45 83
167 iJzq1tt4 24 64 23 83
174 9SL02F 82 52 37 57
206 wzss0z 33 1 55 94
212 vBfFcA 88 11 16 83
230 PQfXmTO 86 24 40 67
238 Byi5yV 43 9 67 11
242 nFJ4U6 10 41 51 57
244 0ZWeyy 52 53 32 87
249 KKTDeuKV 51 77 0 92
260 4UE5fV 92 6 52 88
277 wD5oUf 78 83 11 54
280 EV2KEqt 64 28 37 47
284 u66Q5Hy 64 95 96 22
286 uqSMAsV 92 65 84 24
297 B9Gg3rM 40 18 14 95
299 l0tgze 61 92 22 79
322 yFEzdw7 23 76 19 64
330 AWewFaa 25 16 93 13
347 k87JZkyw 23 16 6 93
365 VdsFpr 62 76 75 13
375 S4WtXE 16 46 21 92
383 KuKHzd 98 51 93 39
385 6jhJUfYC 75 50 32 4
388 e0sBoMdU 39 35 75 64
401 olqKT5 51 13 83 25
411 pi9dE6KW 17 46 40 97
441 gxiAZ4io 53 70 2 79
453 aYaqqxW5 22 12 96 33
480 LfvuERwY 66 0 35 58
483 2mD6seHe 83 74 6 38
497 74a5sBuf 54 92 95 30
502 Wd5FFg 63 5 80 31
517 VRb311S 39 31 85 26
531 lMsg9Qx 27 87 41 7
555 OfYL3l 63 11 96 41
562 bsn20kT2 25 83 41 88
566 sXnjpyQ 86 99 56 37
567 5Z8rkU 56 97 89 82
580 454qBN 52 12 22 2
583 wqIPHMFy 50 75 59 97
604 yFEifNMN 20 38 33 67
628 Rlt1RmsG 26 50 84 84
639 BuRjeAO9 37 45 83 51
640 928tzTT 70 28 19 24
668 n5hgOYhy 77 46 57 88
672 YnyOLNi 55 71 52 56
694 Hp95Wr 24 55 50 6
695 9SMyERiX 40 31 91 21
701 Cy8v6hdo 25 39 43 36
702 hGJTiyG 83 18 90 96
705 GorLkIP 75 6 42 36
716 ds0bcTGS 87 48 87 47
724 X3MBnrK 23 21 11 65
736 ZVLNQPa 65 43 54 39
747 xYAPSqN7 46 7 90 73
748 6ZdV1mz 91 54 60 18
753 N6OIEqN 83 26 76 98
762 0brn1xF 97 67 68 2
764 uoPrAxV 72 73 3 77
766 yFw1znz 24 79 74 1
778 4rfFYM 75 41 67 12
799 CKMF1el 32 21 7 2
810 19nWHDj 81 70 90 7
