score1
id ,:name ,:math ,:english ,:science ,:music
3 zUFUO26 43 37 2 90
16 W3XmmcNL 28 22 96 95
31 WKGQOS63 46 22 22 60
36 maogJb 45 41 51 1
40 cKrp9cz 92 59 50 7
41 EpsICh 29 86 13 15
42 B9VjIHe 79 98 85 92
51 6h4HBg 83 35 15 59
66 Pqe5zOX 60 71 17 46
74 e5fhg3J 81 1 52 69
85 tI8HLiy 51 88 17 67
92 gQ0ugbI 51 90 35 100
97 VvYQfrRv 24 19 54 63
98 sY3BLfU 71 58 75 9
103 tGV8ApN 20 98 21 56
114 T6zeNUn 13 3 65 99
120 7uvlYj 96 3 22 65
136 ke13HuX 18 77 78 92
139 gIQE6C 35 22 92 64
162 uO5VpwyT 39 3 26 47
164 CLZsYMyp 57 66 74 50
193 PGfgJTO 53 39 50 96
199 cIypz7Mo 40 33 57 60
212 KjKWWf8 87 85 61 55
241 KEEysN91 31 73 46 9
245 7mtCkJ2N 23 16 3 31
254 GP4bBYY 23 87 2 6
255 mk8eD5B 38 16 69 45
256 ZdwJSM 56 73 42 98
266 rLLnCr3L 95 16 86 61
275 w5Lc4A 60 73 68 17
276 hDLCAF 39 22 38 74
293 jGJEL4 38 70 98 10
298 lm3AG1ef 81 75 64 40
306 lwbQx7xS 41 52 5 6
321 E2srWS 61 71 13 43
332 my6G8D 32 41 76 39
337 7boBN874 29 31 45 52
340 KtQOpG 11 27 26 11
346 tgcJT3gC 70 3 30 85
347 urAunt9N 80 52 37 49
359 NeCdEQQq 56 71 3 33
364 h0S7ugf9 96 79 87 35
388 SAVZMK 9 43 51 71
390 5FAd0UTs 58 72 32 18
401 kvBMNzTb 62 27 62 47
406 TwUkli 1 94 53 40
417 URmSak 18 86 38 26
433 Y0aOuh 87 37 21 60
434 gF5TF0aR 52 3 35 61
458 fhVctTpO 62 96 65 45
467 IBCYQIUn 4 32 43 84
478 5Xxk183P 63 55 56 50
479 fSg0pL 12 52 70 68
490 VlOW181C 97 41 16 21
498 8Niu8F 39 91 24 3
530 g9CYQzBj 96 17 28 88
538 MIeeFTx 8 63 54 96
553 HYjjIwt7 4 61 14 72
565 gsOLSh 100 98 43 90
568 NJZF8B 50 91 0 97
570 z6wnBXK 81 64 15 58
583 kepzthV 5 49 32 55
586 1FOvYjpS 9 16 52 46
